PersonId;NickName;Travel_Documents;Sex;First Name;Last Name
1;FrequentFlyer0;;Male;;
2;FrequentFlyer2;;Male;ZYKOV;NAZAR
3;FrequentFlyer4;;;;
4;FrequentFlyer5;;;;
5;FrequentFlyer6;;Male;D'YAKOV;RUSLAN
6;FrequentFlyer7;;Male;;
7;FrequentFlyer10;;Male;;
8;FrequentFlyer12;;Male;SAKHAROV;DMITRIY
9;FrequentFlyer13;;;;
10;FrequentFlyer14;;Male;KISELEV;RODION
11;FrequentFlyer17;;;;
12;FrequentFlyer18;;Male;NIKOLAEV;ALEXANDR
13;FrequentFlyer19;;;;
14;FrequentFlyer20;;Male;;
15;FrequentFlyer21;;Female;TIKHONOVA;EL'VIRA
16;FrequentFlyer22;;Female;KAZANTSEVA;NIKA
17;FrequentFlyer23;;Male;KAS'YANOV;MIKHAIL
18;FrequentFlyer25;;Male;;
19;FrequentFlyer26;;;;
20;FrequentFlyer29;;Male;;
21;FrequentFlyer31;;Female;SAFONOVA;ALINA
22;FrequentFlyer32;;Female;;
23;FrequentFlyer34;;Male;;
24;FrequentFlyer35;;;;
25;FrequentFlyer36;;Male;GROMOV;GRIGORIY
26;FrequentFlyer38;;Female;MAXIMOVA;NADEZHDA
27;FrequentFlyer39;;Male;EFREMOV;ARTEMIY
28;FrequentFlyer40;;Male;;
29;FrequentFlyer41;;Female;;
30;FrequentFlyer42;;Male;FILATOV;SVYATOGOR
31;FrequentFlyer43;;Female;;
32;FrequentFlyer44;;Female;KIRILLOVA;KAROLINA
33;FrequentFlyer46;;Male;KRASNOV;VYACHESLAV
34;FrequentFlyer47;;Female;EREMINA;AGATA
35;FrequentFlyer49;;Male;;
36;FrequentFlyer50;;Male;KUZ'MIN;TAMERLAN
37;FrequentFlyer52;;;;
38;FrequentFlyer53;;Female;MARKINA;NELLI
39;FrequentFlyer58;;;;
40;FrequentFlyer59;;;;
41;FrequentFlyer62;;;;
42;FrequentFlyer65;;Female;PANINA;EL'VIRA
43;FrequentFlyer70;;;;
44;FrequentFlyer71;;Male;;
45;FrequentFlyer72;;Female;SERGEEVA;ALEXANDRA
46;FrequentFlyer74;;Female;GONCHAROVA;POLINA
47;FrequentFlyer75;;Female;SOMOVA;VARVARA
48;FrequentFlyer77;;Female;TSVETKOVA;VASILINA
49;FrequentFlyer78;;Female;LEONT'EVA;ANZHELIKA
50;FrequentFlyer79;;Female;;
51;FrequentFlyer80;;Female;MOLCHANOVA;ALENA
52;FrequentFlyer82;;Female;;
53;FrequentFlyer83;;Male;;
54;FrequentFlyer84;;Female;;
55;FrequentFlyer85;;;;
56;FrequentFlyer87;;;;
57;FrequentFlyer88;;Male;;
58;FrequentFlyer89;;Male;;
59;FrequentFlyer90;;Female;;
60;FrequentFlyer91;;Male;BOBROV;IGOR'
61;FrequentFlyer92;;;;
62;FrequentFlyer94;;Male;;
63;FrequentFlyer95;;Female;MAXIMOVA;EL'MIRA
64;FrequentFlyer96;;Female;;
65;FrequentFlyer98;;Male;;
66;FrequentFlyer99;;Male;VAVILOV;YAN
67;FrequentFlyer100;;Female;BELOVA;DIANA
68;FrequentFlyer101;;Male;AGAFONOV;DEMID
69;FrequentFlyer102;;Male;ORLOV;PETR
70;FrequentFlyer103;;Male;;
